date,code,name,market,open,high,low,close,change,change_rate,volume,trading_value,market_cap,listed_shares
20251017,005380,현대차,KOSPI,241000,246000,239500,243000,1000,0.41,994190,241245363250,49756137138000,204757766
20251017,005930,삼성전자,KOSPI,97200,99100,96700,97900,200,0.2,22730809,2225132112442,579532552563800,5919637922
20251017,035720,카카오,KOSPI,58600,59500,57900,58000,-600,-1.02,2052888,119839175700,25654452004000,442318138
20251020,005380,현대차,KOSPI,251500,252000,241500,248000,5000,2.06,1155423,285009359750,50779925968000,204757766
20251020,005930,삼성전자,KOSPI,97900,98300,96000,98100,200,0.2,17589756,1714999925050,580716480148200,5919637922
20251020,035720,카카오,KOSPI,58100,59000,56900,58800,800,1.38,1646974,95807102900,26008306514400,442318138
20251021,005380,현대차,KOSPI,252000,267000,251500,256500,8500,3.43,2002410,522968061250,52520366979000,204757766
20251021,005930,삼성전자,KOSPI,98500,99900,97300,97500,-600,-0.61,22803830,2252645721374,577164697395000,5919637922
20251021,035720,카카오,KOSPI,59200,63000,59000,62300,3500,5.95,6975312,428074563650,27556419997400,442318138
20251022,005380,현대차,KOSPI,265000,265000,254500,261000,4500,1.75,1060973,274362096250,53441776926000,204757766
20251022,005930,삼성전자,KOSPI,97100,98600,95500,98600,1100,1.13,15937611,1547962213088,583676299109200,5919637922
20251022,035720,카카오,KOSPI,62800,62900,60000,60900,-1400,-2.25,2244634,136754404700,26937174604200,442318138
20251023,005380,현대차,KOSPI,256500,258500,251000,252000,-9000,-3.45,909720,231587309500,51598957032000,204757766
20251023,005930,삼성전자,KOSPI,96800,98500,96300,96500,-2100,-2.13,18488581,1796781660790,571245059473000,5919637922
20251023,035720,카카오,KOSPI,60200,60300,59000,59000,-1900,-3.12,2234207,133030893800,26096770142000,442318138
20251024,005380,현대차,KOSPI,253500,254000,248000,252500,500,0.2,775983,194992827750,51701335915000,204757766
20251024,005930,삼성전자,KOSPI,97900,99000,97700,98800,2300,2.38,18801925,1852510715919,584860226693600,5919637922
20251024,035720,카카오,KOSPI,59700,59700,59000,59200,200,0.34,1101507,65224123300,26185233769600,442318138
20251027,005380,현대차,KOSPI,253500,259500,253000,254500,2000,0.79,763121,194930207750,52110851447000,204757766
20251027,005930,삼성전자,KOSPI,101300,102000,100600,102000,3200,3.24,22169970,2250615426550,603803068044000,5919637922
20251027,035720,카카오,KOSPI,59500,61500,59200,60900,1700,2.87,2592815,157384398000,26937174604200,442318138
20251028,005380,현대차,KOSPI,253500,253500,249000,250500,-4000,-1.57,677447,169597138750,51291820383000,204757766
20251028,005930,삼성전자,KOSPI,100900,101000,99100,99500,-2500,-2.45,20002282,1994943413477,589003973239000,5919637922
20251028,035720,카카오,KOSPI,61900,64300,61300,63700,2800,4.6,5224554,330779387213,28175665390600,442318138
20251029,005380,현대차,KOSPI,254500,259500,251000,258000,7500,2.99,937830,240561841000,52827503628000,204757766
20251029,005930,삼성전자,KOSPI,100200,101000,99100,100500,1000,1.01,20899788,2092397701550,594923611161000,5919637922
20251029,035720,카카오,KOSPI,63800,69700,63100,67700,4000,6.28,11877149,803193391588,29944937942600,442318138
20251030,005380,현대차,KOSPI,287500,289500,263000,265000,7000,2.71,2958411,808443013250,54260807990000,204757766
20251030,005930,삼성전자,KOSPI,102400,105800,102000,104100,3600,3.58,34570017,3591285130855,616234307680200,5919637922
20251030,035720,카카오,KOSPI,68000,68100,63200,63500,-4200,-6.2,5185767,336193226450,28087201763000,442318138
20251031,005380,현대차,KOSPI,273500,294000,270500,290000,25000,9.43,3631736,1038861881000,59379752140000,204757766
20251031,005930,삼성전자,KOSPI,105000,108600,103300,107500,3400,3.27,54824564,5744254696496,636361076615000,5919637922
20251031,035720,카카오,KOSPI,64700,66300,64600,65100,1600,2.52,3412818,223166094133,28794910783800,442318138
20251103,005380,현대차,KOSPI,297500,298000,288000,291500,1500,0.52,1498016,436149626000,59686888789000,204757766
20251103,005930,삼성전자,KOSPI,106900,111500,106500,111100,3600,3.35,30110066,3295567406580,657671773134200,5919637922
20251103,035720,카카오,KOSPI,66600,66900,64000,64500,-600,-0.92,3029755,196857167800,28529519901000,442318138
20251104,005380,현대차,KOSPI,286500,288500,276000,276000,-15500,-5.32,1416294,396592742000,56513143416000,204757766
20251104,005930,삼성전자,KOSPI,111800,112400,104900,104900,-6200,-5.58,30450281,3288827318350,620970018017800,5919637922
20251104,035720,카카오,KOSPI,64700,65500,63800,64200,-300,-0.47,1815606,117196057650,28396824459600,442318138
20251105,005380,현대차,KOSPI,270000,271500,259000,268500,-7500,-2.72,1420277,376991066000,54977460171000,204757766
20251105,005930,삼성전자,KOSPI,101000,102000,96700,100600,-4300,-4.1,44843020,4472837142000,595515574953200,5919637922
20251105,035720,카카오,KOSPI,64800,65600,60500,62700,-1500,-2.34,5643655,350444534500,27733347252600,442318138
20251106,005380,현대차,KOSPI,274500,275000,264500,269000,500,0.19,686561,184835264750,55079839054000,204757766
20251106,005930,삼성전자,KOSPI,103700,103800,98800,99200,-1400,-1.39,28655689,2879395591412,587228081862400,5919637922
20251106,035720,카카오,KOSPI,63300,64000,60200,60700,-2000,-3.19,4335582,265865340250,26848710976600,442318138
20251107,005380,현대차,KOSPI,261000,267000,259500,264000,-5000,-1.86,666772,175203813500,54056050224000,204757766
20251107,005930,삼성전자,KOSPI,96400,100300,96300,97900,-1300,-1.31,22908083,2246165668512,579532552563800,5919637922
20251107,035720,카카오,KOSPI,61600,65400,60800,62800,2100,3.46,9719245,611615816900,27777579066400,442318138
20251110,005380,현대차,KOSPI,266500,274000,265000,270500,6500,2.46,692464,187548625750,55386975703000,204757766
20251110,005930,삼성전자,KOSPI,98600,101000,97900,100600,2700,2.76,23842327,2378589265170,595515574953200,5919637922
20251110,035720,카카오,KOSPI,63400,66400,62200,62300,-500,-0.8,7999819,510981453600,27556419997400,442318138
20251111,005380,현대차,KOSPI,272500,274000,267500,269000,-1500,-0.55,494203,133786168250,55079839054000,204757766
20251111,005930,삼성전자,KOSPI,103700,106000,102000,103500,2900,2.88,27742542,2891284191696,612682524927000,5919637922
20251111,035720,카카오,KOSPI,62500,66700,62500,64100,1800,2.89,12337247,802184626000,28352592645800,442318138
20251112,005380,현대차,KOSPI,271500,278500,269500,275500,6500,2.42,807526,222645093500,56410764533000,204757766
20251112,005930,삼성전자,KOSPI,103000,103900,101600,103100,-400,-0.39,19413497,1998502530464,610314669758200,5919637922
20251112,035720,카카오,KOSPI,64700,64800,63500,63800,-300,-0.47,3227242,206167622000,28219897204400,442318138
